STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Gujarat,1,Abdasa,1 Jadeja Pradhyumansinh Mahipatsinh,MALE,58,GENERAL,BJP,Lotus,79298,897,80195,49.15,253367
Gujarat,1,Abdasa,2 Jat Mamad Jung,MALE,52,GENERAL,INC,Hand,70423,341,70764,43.37,253367
Gujarat,1,Abdasa,3 Hakumatsinh Juvansinh Jadeja,MALE,50,GENERAL,IND,Almirah,3474,28,3502,2.15,253367
Gujarat,1,Abdasa,4 Nota,,,,NOTA,NOTA,2925,17,2942,1.8,253367
Gujarat,1,Abdasa,5 Mamubhai Mandabhai Rabari,MALE,32,GENERAL,IND,Air conditioner,1722,13,1735,1.06,253367
Gujarat,1,Abdasa,6 Vasantbhai Valji Khetani,MALE,53,GENERAL,AAAP,Broom,1606,98,1704,1.04,253367
Gujarat,1,Abdasa,7 Meghwal Nagshi Khamubhai,MALE,74,SC,BSP,Elephant,1022,20,1042,0.64,253367
Gujarat,1,Abdasa,8 Uthar Razak Alimamad,MALE,33,GENERAL,IND,Bat,437,13,450,0.28,253367
Gujarat,1,Abdasa,9 Bhanushali Suresh Manji Mange,MALE,46,GENERAL,IND,Football,337,0,337,0.21,253367
Gujarat,1,Abdasa,10 K. D. Jadeja,MALE,35,GENERAL,PRJVJP,Truck,299,5,304,0.19,253367
Gujarat,1,Abdasa,11 Joshi Jagdishchandra Kakulal,MALE,59,GENERAL,SP,Bicycle,195,2,197,0.12,253367
TURN OUT,,,,,,TOTAL:,,,161738,1434,163172,64.4,
Gujarat,2,Mandvi,1 Aniruddha Bhailal Dave,MALE,54,GENERAL,BJP,Lotus,89747,556,90303,53.3,257598
Gujarat,2,Mandvi,2 Rajendrasinh A. Jadeja,MALE,50,GENERAL,INC,Hand,41768,238,42006,24.79,257598
Gujarat,2,Mandvi,3 Kailasdan K. Gadhvi,MALE,52,GENERAL,AAAP,Broom,22501,290,22791,13.45,257598
Gujarat,2,Mandvi,4 Advocate Mahamadiqbal Manjaliya,MALE,41,GENERAL,AIMIM,Kite,8477,17,8494,5.01,257598
Gujarat,2,Mandvi,5 Nota,,,,NOTA,NOTA,2411,16,2427,1.43,257598
Gujarat,2,Mandvi,6 Kishorbhai Dheda,MALE,40,SC,BSP,Elephant,1817,29,1846,1.09,257598
Gujarat,2,Mandvi,7 Sameja Abdulkarim Amad,MALE,47,GENERAL,IND,Cot,660,3,663,0.39,257598
Gujarat,2,Mandvi,8 Sangar Shivji Budhiya,MALE,55,GENERAL,IND,Pressure cooker,517,0,517,0.31,257598
Gujarat,2,Mandvi,9 Vachhiya Lakhmir Rabari,MALE,42,GENERAL,PRJVJP,Pot,373,6,379,0.22,257598
TURN OUT,,,,,,TOTAL:,,,168271,1155,169426,65.77,
Gujarat,3,Bhuj,1 Keshubhai Shivdas Patel,MALE,66,GENERAL,BJP,Lotus,95746,836,96582,53.59,291337
Gujarat,3,Bhuj,2 Arjan Bhudia,MALE,60,GENERAL,INC,Hand,36495,273,36768,20.4,291337
Gujarat,3,Bhuj,3 Sakil Mahamad Sama,MALE,29,GENERAL,AIMIM,Kite,31249,46,31295,17.36,291337
Gujarat,3,Bhuj,4 Rajesh Kesara Pindoria,MALE,42,GENERAL,AAAP,Broom,7840,220,8060,4.47,291337
Gujarat,3,Bhuj,5 Nota,,,,NOTA,NOTA,3425,37,3462,1.92,291337
Gujarat,3,Bhuj,6 Bhupendra Babulal Joshi,MALE,36,GENERAL,IND,Cot,1113,3,1116,0.62,291337
Gujarat,3,Bhuj,7 Saiyad Jusabsha Mamadsha,MALE,42,GENERAL,BSP,Elephant,1032,11,1043,0.58,291337
Gujarat,3,Bhuj,8 Osman Ishabhai Kumbhar,MALE,40,GENERAL,IND,Crane,541,4,545,0.3,291337
Gujarat,3,Bhuj,9 Theba Husen Mamad,MALE,46,GENERAL,IND,Binoculars,467,0,467,0.26,291337
Gujarat,3,Bhuj,10 Node Kasam Mohamad,MALE,65,GENERAL,RTORP,Pressure cooker,445,3,448,0.25,291337
Gujarat,3,Bhuj,11 Mehulraj Bharatsinh Rathod,MALE,42,GENERAL,PRJVJP,Truck,435,4,439,0.24,291337
TURN OUT,,,,,,TOTAL:,,,178788,1437,180225,61.86,
Gujarat,4,Anjar,1 Chhanga Trikam Bijal,MALE,60,GENERAL,BJP,Lotus,98606,470,99076,56.52,271050
Gujarat,4,Anjar,2 Dangar Rameshbhai Shamjibhai,MALE,43,GENERAL,INC,Hand,61084,283,61367,35.01,271050
Gujarat,4,Anjar,3 Arjanbhai Chanabhai Rabari,MALE,37,GENERAL,AAAP,Broom,7220,115,7335,4.18,271050
Gujarat,4,Anjar,4 Nota,,,,NOTA,NOTA,2467,18,2485,1.42,271050
Gujarat,4,Anjar,5 Chavda Sudha Bakul,FEMALE,42,SC,BSP,Elephant,2349,10,2359,1.35,271050
Gujarat,4,Anjar,6 Ramesh Jakharabhai Kodecha,MALE,33,SC,IND,Truck,1061,1,1062,0.61,271050
Gujarat,4,Anjar,7 Roshanali Ibrahim Sandhani,MALE,42,GENERAL,SDPI,Auto- rickshaw,955,2,957,0.55,271050
Gujarat,4,Anjar,8 Kakal Ganibhai Adambhai,MALE,39,GENERAL,GSSP,Sewing machine,638,0,638,0.36,271050
TURN OUT,,,,,,TOTAL:,,,174380,899,175279,64.67,
Gujarat,5,Gandhidham (SC),1 Malti Kishor Maheshwari,FEMALE,34,SC,BJP,Lotus,83382,378,83760,55.23,315306
Gujarat,5,Gandhidham (SC),2 Bharatbhai Veljibhai Solanki,MALE,42,SC,INC,Hand,45729,200,45929,30.28,315306
Gujarat,5,Gandhidham (SC),3 Budhabhai Thavar Maheshwari,MALE,63,SC,AAAP,Broom,14655,172,14827,9.78,315306
Gujarat,5,Gandhidham (SC),4 Nota,,,,NOTA,NOTA,3087,18,3105,2.05,315306
Gujarat,5,Gandhidham (SC),5 Maurya K. D.,MALE,47,SC,BSP,Elephant,1002,8,1010,0.67,315306
Gujarat,5,Gandhidham (SC),6 Laljibhai Karabhai Baliya,MALE,48,SC,SP,Bicycle,968,0,968,0.64,315306
Gujarat,5,Gandhidham (SC),7 Sondarva Jignasha Maheshbhai,FEMALE,29,SC,IND,Pen nib with seven rays,787,6,793,0.52,315306
Gujarat,5,Gandhidham (SC),8 Samirbhai Jumabhai Maheshwari,MALE,46,SC,IND,Mike,558,1,559,0.37,315306
