STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Karnataka,1,Nippani,1 Jolle Shashikala Annasaheb,FEMALE,53,GENERAL,BJP,Lotus,72952,396,73348,39.14,226662
Karnataka,1,Nippani,2 Uttam Raosaheb Patil,MALE,45,GENERAL,NCP,Clock,65614,442,66056,35.25,226662
Karnataka,1,Nippani,3 Kakasaheb P. Patil,MALE,68,GENERAL,INC,Hand,43932,175,44107,23.53,226662
Karnataka,1,Nippani,4 Nota,,,,NOTA,NOTA,914,5,919,0.49,226662
Karnataka,1,Nippani,5 Shakuntala Ashok Teli,FEMALE,56,GENERAL,KRPP,Football,645,1,646,0.34,226662
Karnataka,1,Nippani,6 Rajaram Urf Raju Powar,MALE,50,GENERAL,JD(S),A lady farmer carrying paddy on her head,610,1,611,0.33,226662
Karnataka,1,Nippani,7 Rajesh Banavanna,MALE,55,GENERAL,AAAP,Broom,557,15,572,0.31,226662
Karnataka,1,Nippani,8 Jayaram Mirajkar,MALE,63,GENERAL,IND,Bat,369,2,371,0.2,226662
Karnataka,1,Nippani,9 Sambhajidada Bapuso Thoravat,MALE,48,GENERAL,IND,Whistle,287,4,291,0.16,226662
Karnataka,1,Nippani,10 Jitendra Subhash Nerle,MALE,48,GENERAL,IND,Jackfruit,288,1,289,0.15,226662
Karnataka,1,Nippani,11 Raghunath Malakari Arage,MALE,43,GENERAL,IND,Pot,199,3,202,0.11,226662
TURN OUT,,,,,,TOTAL:,,,186367,1045,187412,82.68,
Karnataka,2,Chikkodi-Sadalga,1 Ganesh Prakash Hukkeri,MALE,45,GENERAL,INC,Hand,127324,1025,128349,69.82,224693
Karnataka,2,Chikkodi-Sadalga,2 Katti Ramesh Vishwanath,MALE,58,GENERAL,BJP,Lotus,49575,265,49840,27.11,224693
Karnataka,2,Chikkodi-Sadalga,3 Arjun Bandu Mane,MALE,54,SC,BSP,Elephant,1276,8,1284,0.7,224693
Karnataka,2,Chikkodi-Sadalga,4 Nota,,,,NOTA,NOTA,954,3,957,0.52,224693
Karnataka,2,Chikkodi-Sadalga,5 Suhas Sadashivappa Walke,MALE,38,GENERAL,JD(S),A lady farmer carrying paddy on her head,700,2,702,0.38,224693
Karnataka,2,Chikkodi-Sadalga,6 Dr. Milan Vithal Kamble,MALE,29,SC,IND,Pen nib with seven rays,687,3,690,0.38,224693
Karnataka,2,Chikkodi-Sadalga,7 Mohan Gurappa Motannavar,MALE,48,SC,IND,Auto- rickshaw,661,2,663,0.36,224693
Karnataka,2,Chikkodi-Sadalga,8 Manjunath Balu Paragoud,MALE,29,GENERAL,KRRS,Diesel pump,432,2,434,0.24,224693
Karnataka,2,Chikkodi-Sadalga,9 Shrikant Mudagoud Patil,MALE,43,GENERAL,AAAP,Broom,404,2,406,0.22,224693
Karnataka,2,Chikkodi-Sadalga,10 Ishwar Maruti Gudaj,MALE,26,SC,BUJNBHRTP,Truck,195,1,196,0.11,224693
Karnataka,2,Chikkodi-Sadalga,11 Appasaheb Shripati Kurane,MALE,41,SC,IMP,Whistle,167,0,167,0.09,224693
