STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Kerala,1,MANJESHWAR,1 A K M ASHRAF,MALE,43,GENERAL,IUML,Ladder,65190,568,65758,38.14,221711
Kerala,1,MANJESHWAR,2 K SURENDRAN,MALE,51,GENERAL,BJP,Lotus,64000,1013,65013,37.7,221711
Kerala,1,MANJESHWAR,3 V V RAMESHAN,MALE,54,GENERAL,CPI(M),"Hammer, Sickle and Star",40098,541,40639,23.57,221711
Kerala,1,MANJESHWAR,4 NOTA,,,,NOTA,NOTA,387,0,387,0.22,221711
Kerala,1,MANJESHWAR,5 PRAVEEN KUMAR S,MALE,30,SC,ADHRMPI,Pot,250,1,251,0.15,221711
Kerala,1,MANJESHWAR,6 SURENDRAN M S/o PADMAVATHI M,MALE,51,GENERAL,IND,Pineapple,196,1,197,0.11,221711
Kerala,1,MANJESHWAR,7 JOHN D SOUZA I,MALE,58,GENERAL,IND,Auto- Rickshaw,180,1,181,0.1,221711
TURN OUT,,,,,,TOTAL:,,,170301,2125,172426,77.77,
Kerala,2,KASARAGOD,1 N A NELLIKKUNNU,MALE,67,GENERAL,IUML,Ladder,62824,472,63296,43.8,201863
Kerala,2,KASARAGOD,2 ADV K SHREEKANTH,MALE,45,GENERAL,BJP,Lotus,49737,658,50395,34.88,201863
Kerala,2,KASARAGOD,3 M A LATHEEF,MALE,55,GENERAL,INL,Football,28028,295,28323,19.6,201863
Kerala,2,KASARAGOD,4 VIJAYA K P,MALE,60,SC,BSP,Elephant,664,15,679,0.47,201863
Kerala,2,KASARAGOD,5 NOTA,,,,NOTA,NOTA,629,10,639,0.44,201863
Kerala,2,KASARAGOD,6 RANJITH RAJ M,MALE,28,SC,ADHRMPI,Pot,545,10,555,0.38,201863
Kerala,2,KASARAGOD,7 NISHANTH KUMAR I B,MALE,29,SC,IND,Battery torch,412,5,417,0.29,201863
