STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Tamil Nadu,1,Gummidipoondi,1 GOVINDARAJAN T.J,MALE,60,GENERAL,DMK,Rising Sun,125001,1451,126452,56.94,281688
Tamil Nadu,1,Gummidipoondi,2 PRAKASH M,MALE,50,GENERAL,PMK,Mango,75004,510,75514,34,281688
Tamil Nadu,1,Gummidipoondi,3 USHA,FEMALE,31,SC,NTK,Ganna Kisan,11643,58,11701,5.27,281688
Tamil Nadu,1,Gummidipoondi,4 DILLIY K.M,MALE,45,GENERAL,DMDK,Nagara,2553,23,2576,1.16,281688
Tamil Nadu,1,Gummidipoondi,5 NOTA,,,,NOTA,NOTA,1775,8,1783,0.8,281688
Tamil Nadu,1,Gummidipoondi,6 NAGARAJ S,MALE,28,SC,BSP,Elephant,1031,7,1038,0.47,281688
Tamil Nadu,1,Gummidipoondi,7 SARAVANAN V,MALE,33,GENERAL,IJK,Auto- Rickshaw,813,3,816,0.37,281688
Tamil Nadu,1,Gummidipoondi,8 SARAVANAN E,MALE,44,GENERAL,IND,DIAMOND,526,6,532,0.24,281688
Tamil Nadu,1,Gummidipoondi,9 DEVANATHAN R,MALE,26,SC,IND,Whistle,482,0,482,0.22,281688
Tamil Nadu,1,Gummidipoondi,10 LAKSHMI R,FEMALE,52,GENERAL,IND,COCONUT FARM,369,5,374,0.17,281688
Tamil Nadu,1,Gummidipoondi,11 PRAKASH K,MALE,49,GENERAL,IND,Cauliflower,349,2,351,0.16,281688
Tamil Nadu,1,Gummidipoondi,12 GOWTHAM J,MALE,26,GENERAL,AMAK,Gas Cylinder,254,0,254,0.11,281688
Tamil Nadu,1,Gummidipoondi,13 PRAKASH M,MALE,52,GENERAL,IND,Grapes,196,0,196,0.09,281688
TURN OUT,,,,,,TOTAL:,,,219996,2073,222069,78.84,
Tamil Nadu,2,Ponneri,1 DURAI. CHANDRASEKAR,MALE,48,SC,INC,Hand,93669,859,94528,44.94,267368
Tamil Nadu,2,Ponneri,2 BALARAMAN. P,MALE,59,SC,ADMK,Two Leaves,84534,305,84839,40.33,267368
Tamil Nadu,2,Ponneri,3 MAHESWARI. A,FEMALE,35,SC,NTK,Ganna Kisan,18973,54,19027,9.05,267368
Tamil Nadu,2,Ponneri,4 DESINGURAJAN. D,MALE,52,SC,MNM,Battery torch,5372,22,5394,2.56,267368
Tamil Nadu,2,Ponneri,5 PON. RAJA,MALE,45,SC,AMMKMNKZ,Pressure Cooker,2813,19,2832,1.35,267368
Tamil Nadu,2,Ponneri,6 NOTA,,,,NOTA,NOTA,1551,3,1554,0.74,267368
Tamil Nadu,2,Ponneri,7 BHAVANI ILAVENIL. J,FEMALE,31,SC,BSP,Elephant,1102,4,1106,0.53,267368
Tamil Nadu,2,Ponneri,8 ASHOK PRIYADARSHAN. S,MALE,42,SC,IND,Football,470,0,470,0.22,267368
Tamil Nadu,2,Ponneri,9 SUGUMAR. K,MALE,40,SC,IND,BELT,298,0,298,0.14,267368
Tamil Nadu,2,Ponneri,10 VIJAYAKUMAR. V,MALE,41,SC,AMGRDMK,Pan,189,1,190,0.09,267368
Tamil Nadu,2,Ponneri,11 SAMBATH KUMAR.C.H,MALE,50,SC,IND,Almirah,116,0,116,0.06,267368
TURN OUT,,,,,,TOTAL:,,,209087,1267,210354,78.68,
Tamil Nadu,3,Tiruttani,1 S.Chandran,MALE,57,GENERAL,DMK,Rising Sun,118005,2309,120314,51.72,291336
Tamil Nadu,3,Tiruttani,2 G.Hari,MALE,60,GENERAL,ADMK,Two Leaves,89704,1357,91061,39.15,291336
Tamil Nadu,3,Tiruttani,3 L.AKILA,FEMALE,31,GENERAL,NTK,Ganna Kisan,11900,107,12007,5.16,291336
Tamil Nadu,3,Tiruttani,4 D.Krishnamoorthi,MALE,58,GENERAL,DMDK,Nagara,3903,25,3928,1.69,291336
Tamil Nadu,3,Tiruttani,5 NOTA,,,,NOTA,NOTA,1653,12,1665,0.72,291336
Tamil Nadu,3,Tiruttani,6 D.PAULRAJ,MALE,33,SC,IND,Coat,889,3,892,0.38,291336
Tamil Nadu,3,Tiruttani,7 V.P.Vijayan,MALE,25,GENERAL,IND,Whistle,761,8,769,0.33,291336
Tamil Nadu,3,Tiruttani,8 N.MAGENDIRAN,MALE,38,SC,BSP,Elephant,711,6,717,0.31,291336
Tamil Nadu,3,Tiruttani,9 M.Hari,MALE,39,GENERAL,IND,Peas,365,1,366,0.16,291336
Tamil Nadu,3,Tiruttani,10 M.D.Thanigai Malai,MALE,49,GENERAL,IJK,Auto- Rickshaw,352,1,353,0.15,291336
Tamil Nadu,3,Tiruttani,11 A.J.Suresh,MALE,35,GENERAL,IND,Telephone,174,8,182,0.08,291336
Tamil Nadu,3,Tiruttani,12 S.Shettu,MALE,47,SC,IND,Tennis Racket & Ball,143,0,143,0.06,291336
Tamil Nadu,3,Tiruttani,13 S.Manikkam,MALE,36,SC,AIJYMKG,Mixee,121,0,121,0.05,291336
Tamil Nadu,3,Tiruttani,14 K.Chandran,MALE,50,GENERAL,IND,Fountain,59,1,60,0.03,291336
Tamil Nadu,3,Tiruttani,15 T.Chandran,MALE,45,SC,IND,Dish Antenna,46,0,46,0.02,291336
TURN OUT,,,,,,TOTAL:,,,228786,3838,232624,79.85,
Tamil Nadu,4,Thiruvallur,"1 RAAJENDRAN, V.G.",MALE,53,GENERAL,DMK,Rising Sun,106316,1393,107709,50.27,274982
Tamil Nadu,4,Thiruvallur,"2 RAMANAH, BE VEE",MALE,53,GENERAL,ADMK,Two Leaves,84508,500,85008,39.68,274982
Tamil Nadu,4,Thiruvallur,"3 PASUPATHY, P.",MALE,50,GENERAL,NTK,Ganna Kisan,14943,85,15028,7.01,274982
Tamil Nadu,4,Thiruvallur,"4 DOSS, D.",MALE,50,SC,BSP,Elephant,2314,15,2329,1.09,274982
Tamil Nadu,4,Thiruvallur,5 NOTA,,,,NOTA,NOTA,1857,15,1872,0.87,274982
Tamil Nadu,4,Thiruvallur,"6 GURU, N.",MALE,42,GENERAL,AMMKMNKZ,Pressure Cooker,1072,5,1077,0.5,274982
Tamil Nadu,4,Thiruvallur,"7 RAJENDIRAN, G.",MALE,54,SC,IND,DIAMOND,385,3,388,0.18,274982
Tamil Nadu,4,Thiruvallur,"8 REVATHI, R.",FEMALE,38,GENERAL,IND,Whistle,281,2,283,0.13,274982
Tamil Nadu,4,Thiruvallur,"9 BALA KRISHNAN, N.",MALE,44,GENERAL,IND,Peas,232,0,232,0.11,274982
Tamil Nadu,4,Thiruvallur,"10 KUMAR, E.",MALE,47,GENERAL,IND,Binoculars,132,1,133,0.06,274982
Tamil Nadu,4,Thiruvallur,"11 RAMANAN, R.",MALE,44,GENERAL,IND,Truck,97,0,97,0.05,274982
Tamil Nadu,4,Thiruvallur,"12 SASIKUMAR, J.",MALE,34,SC,IND,Cauliflower,87,0,87,0.04,274982
TURN OUT,,,,,,TOTAL:,,,212224,2019,214243,77.91,
Tamil Nadu,5,Poonamallee,1 Krishnaswamy A,MALE,55,SC,DMK,Rising Sun,148383,1195,149578,56.72,358218
Tamil Nadu,5,Poonamallee,2 Rajamannar S X,MALE,63,SC,PMK,Mango,55249,219,55468,21.03,358218
Tamil Nadu,5,Poonamallee,3 Manimekalai A,FEMALE,30,SC,NTK,Ganna Kisan,29804,67,29871,11.33,358218
Tamil Nadu,5,Poonamallee,4 Revathi Manimegalai J,FEMALE,54,SC,MNM,Battery torch,11877,50,11927,4.52,358218
Tamil Nadu,5,Poonamallee,5 Elumalai T.A.,MALE,54,SC,AMMKMNKZ,Pressure Cooker,8771,34,8805,3.34,358218
Tamil Nadu,5,Poonamallee,6 Sathyamurthy A C,MALE,41,SC,BSP,Elephant,2880,11,2891,1.1,358218
Tamil Nadu,5,Poonamallee,7 NOTA,,,,NOTA,NOTA,2853,18,2871,1.09,358218
Tamil Nadu,5,Poonamallee,8 Ravikumar M,MALE,32,SC,IND,DIAMOND,448,0,448,0.17,358218
Tamil Nadu,5,Poonamallee,9 Sivakumar S,MALE,51,SC,IND,Water Melon,402,0,402,0.15,358218
Tamil Nadu,5,Poonamallee,10 Velu S,MALE,44,SC,IND,Capsicum,355,0,355,0.13,358218
Tamil Nadu,5,Poonamallee,11 Boshya Gayathri M,FEMALE,25,SC,MIDP,CCTV Camera,288,2,290,0.11,358218
Tamil Nadu,5,Poonamallee,12 Venkatesan J,MALE,45,SC,IND,Well,242,0,242,0.09,358218
Tamil Nadu,5,Poonamallee,13 Rajesh P,MALE,31,SC,IND,Kettle,239,0,239,0.09,358218
Tamil Nadu,5,Poonamallee,14 Purushothaman B,MALE,51,SC,IND,Cauliflower,174,2,176,0.07,358218
Tamil Nadu,5,Poonamallee,15 Dhasarathan R,MALE,53,SC,IND,Pot,173,0,173,0.07,358218
TURN OUT,,,,,,TOTAL:,,,262138,1598,263736,73.62,
Tamil Nadu,6,Avadi,1 Nasar S M,MALE,61,GENERAL,DMK,Rising Sun,148845,1442,150287,49.94,442831
Tamil Nadu,6,Avadi,2 Pandiarajan K,MALE,61,GENERAL,ADMK,Two Leaves,94331,681,95012,31.57,442831
Tamil Nadu,6,Avadi,3 VIJAYALAKSHMI G,FEMALE,35,GENERAL,NTK,Ganna Kisan,29953,134,30087,10,442831
Tamil Nadu,6,Avadi,4 Udhayakumar V,MALE,49,GENERAL,MNM,Battery Torch,16982,110,17092,5.68,442831
Tamil Nadu,6,Avadi,5 NOTA,,,,NOTA,NOTA,2361,20,2381,0.79,442831
Tamil Nadu,6,Avadi,6 Sankar N M,MALE,51,GENERAL,DMDK,Nagara,1895,16,1911,0.64,442831
Tamil Nadu,6,Avadi,7 Balasubramanian M,MALE,48,GENERAL,TNLK,Ring,1251,12,1263,0.42,442831
Tamil Nadu,6,Avadi,8 CHARLES S,MALE,40,SC,BSP,Elephant,763,10,773,0.26,442831
