Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total Votes
1,Gummidipoondi,VIJAYAKUMAR  K S,M,45,GEN,ADMK,89021,311,89332,260912,214348
1,Gummidipoondi,SEKAR C H,M,37,GEN,DMK,65197,740,65937,260912,214348
1,Gummidipoondi,SELVARAJ M,M,44,GEN,PMK,42890,165,43055,260912,214348
1,Gummidipoondi,GEETHA K,F,33,GEN,DMDK,6563,22,6585,260912,214348
1,Gummidipoondi,BHASKARAN M,M,53,GEN,BJP,2081,11,2092,260912,214348
1,Gummidipoondi,None of the Above,,,,NOTA,1481,3,1484,260912,214348
1,Gummidipoondi,MURALI KRISHNA M (A) SAMARAN,M,29,SC,BSP,1279,3,1282,260912,214348
1,Gummidipoondi,SURESHKUMAR S,M,48,GEN,NTK,1242,8,1250,260912,214348
1,Gummidipoondi,MURUGAN M,M,47,GEN,IND,875,0,875,260912,214348
1,Gummidipoondi,KANDAVEL  R,M,40,GEN,YSP,645,0,645,260912,214348
1,Gummidipoondi,KARUNAKARAN A,M,42,GEN,IND,553,1,554,260912,214348
1,Gummidipoondi,ARULVEL SELVAN C,M,38,GEN,IND,541,9,550,260912,214348
1,Gummidipoondi,PANDIYAN A,M,46,GEN,IND,231,0,231,260912,214348
1,Gummidipoondi,GANAPATHY R,M,42,GEN,IND,164,0,164,260912,214348
1,Gummidipoondi,SARAVANAN T,M,29,GEN,IND,156,7,163,260912,214348
1,Gummidipoondi,KANTHARAJ V C,M,42,GEN,GOKMK,149,0,149,260912,214348
2,Ponneri,BALARAMAN P,M,55,SC,ADMK,95741,238,95979,250403,197648
2,Ponneri,PARIMALAM K DOCTOR,F,54,SC,DMK,76070,573,76643,250403,197648
2,Ponneri,PANDIAN A,M,50,SC,PMK,9556,30,9586,250403,197648
2,Ponneri,SENTHIL KUMAR V,M,40,SC,VCK,5541,25,5566,250403,197648
2,Ponneri,None of the Above,,,,NOTA,2281,3,2284,250403,197648
2,Ponneri,GANESAN K,M,50,SC,BJP,2061,6,2067,250403,197648
2,Ponneri,VINOTH BABU S,M,33,SC,NTK,1613,7,1620,250403,197648
2,Ponneri,RAJA S,M,35,SC,BSP,1151,1,1152,250403,197648
2,Ponneri,KOTTEESWARAN K,M,34,SC,YSP,695,1,696,250403,197648
2,Ponneri,RUKUMANGADAN L,M,36,SC,IND,638,2,640,250403,197648
2,Ponneri,DILLI BABU V,M,30,SC,IND,536,0,536,250403,197648
2,Ponneri,SUDHAKARAN H,M,33,SC,IND,381,2,383,250403,197648
