STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Uttar Pradesh,1,Behat,1 Umar Ali Khan,MALE,44,GENERAL,SP,Bicycle,134396,117,134513,47.81,372305
Uttar Pradesh,1,Behat,2 Naresh Saini,MALE,57,GENERAL,BJP,Lotus,96389,244,96633,34.34,372305
Uttar Pradesh,1,Behat,3 Rais Malik,MALE,54,GENERAL,BSP,Elephant,45010,65,45075,16.02,372305
Uttar Pradesh,1,Behat,4 Poonam Kamboj,FEMALE,36,GENERAL,INC,Hand,1626,6,1632,0.58,372305
Uttar Pradesh,1,Behat,5 Sushil Kumar,MALE,38,GENERAL,AAAP,Broom,1161,1,1162,0.41,372305
Uttar Pradesh,1,Behat,6 NOTA,,,,NOTA,NOTA,1116,1,1117,0.4,372305
Uttar Pradesh,1,Behat,7 Dharampal Singh,MALE,46,GENERAL,IND,Cup & Saucer,560,0,560,0.2,372305
Uttar Pradesh,1,Behat,8 Ali Khan,MALE,31,GENERAL,IND,Cauliflower,409,0,409,0.15,372305
Uttar Pradesh,1,Behat,9 Mo. IKram,MALE,47,GENERAL,IND,Scissors,271,1,272,0.1,372305
TURN OUT,,,,,,TOTAL:,,,280938,435,281373,75.58,
Uttar Pradesh,2,Nakur,1 MUKESH CHOUDHARY,MALE,47,GENERAL,BJP,Lotus,103771,343,104114,38.47,355632
Uttar Pradesh,2,Nakur,2 DR. DHARAM SINGH SAINI,MALE,65,GENERAL,SP,Bicycle,103616,183,103799,38.35,355632
Uttar Pradesh,2,Nakur,3 SAHIL KHAN,MALE,38,GENERAL,BSP,Elephant,55032,80,55112,20.36,355632
Uttar Pradesh,2,Nakur,4 RIZWANA,FEMALE,41,GENERAL,AIMIM,Kite,3591,2,3593,1.33,355632
Uttar Pradesh,2,Nakur,5 RANDHEER SINGH,MALE,54,GENERAL,INC,Hand,1353,1,1354,0.5,355632
Uttar Pradesh,2,Nakur,6 NOTA,,,,NOTA,NOTA,710,0,710,0.26,355632
Uttar Pradesh,2,Nakur,7 SONU KUMAR,MALE,40,GENERAL,ASPKR,Kettle,614,2,616,0.23,355632
Uttar Pradesh,2,Nakur,8 ATUL KUMAR,MALE,36,GENERAL,IVD,Walking Stick,420,0,420,0.16,355632
Uttar Pradesh,2,Nakur,9 NITIN KUMAR,MALE,28,GENERAL,JMBP,FLUTE,266,1,267,0.1,355632
Uttar Pradesh,2,Nakur,10 ASHISH TYAGI,MALE,25,GENERAL,AAAP,Broom,239,1,240,0.09,355632
Uttar Pradesh,2,Nakur,11 DEVENDRA CHAUHAN,MALE,59,GENERAL,AEP,Gas Cylinder,218,0,218,0.08,355632
Uttar Pradesh,2,Nakur,12 NAHID LATIF,MALE,29,GENERAL,LD,Ganna Kisan,209,0,209,0.08,355632
TURN OUT,,,,,,TOTAL:,,,270039,613,270652,76.1,
Uttar Pradesh,3,Saharanpur Nagar,1 RAJEEV GUMBER,MALE,52,GENERAL,BJP,Lotus,142294,901,143195,48.85,443592
Uttar Pradesh,3,Saharanpur Nagar,2 SANJAY GARG,MALE,64,GENERAL,SP,Bicycle,135314,447,135761,46.32,443592
Uttar Pradesh,3,Saharanpur Nagar,3 Manish,MALE,35,GENERAL,BSP,Elephant,8680,96,8776,2.99,443592
Uttar Pradesh,3,Saharanpur Nagar,4 SUKHWINDER KAUR,FEMALE,51,GENERAL,INC,Hand,2246,10,2256,0.77,443592
Uttar Pradesh,3,Saharanpur Nagar,5 NOTA,,,,NOTA,NOTA,747,6,753,0.26,443592
Uttar Pradesh,3,Saharanpur Nagar,6 MANSOOR AHMED,MALE,46,GENERAL,ASPKR,Kettle,692,3,695,0.24,443592
Uttar Pradesh,3,Saharanpur Nagar,7 AVTAR SINGH,MALE,51,GENERAL,ABVP,Balloon,398,0,398,0.14,443592
Uttar Pradesh,3,Saharanpur Nagar,8 RITA,FEMALE,41,SC,BMUP,Cot,360,0,360,0.12,443592
Uttar Pradesh,3,Saharanpur Nagar,9 USMAN MALIK,MALE,29,GENERAL,AAAP,Broom,286,1,287,0.1,443592
Uttar Pradesh,3,Saharanpur Nagar,10 SANJAY KUMAR,MALE,46,SC,IND,BUCKET,205,1,206,0.07,443592
Uttar Pradesh,3,Saharanpur Nagar,11 KAMROODDIN,MALE,45,GENERAL,SANVP,Helmet,168,0,168,0.06,443592
Uttar Pradesh,3,Saharanpur Nagar,12 SALLOUDEEN RAJA,MALE,34,GENERAL,LD,Ganna Kisan,153,0,153,0.05,443592
Uttar Pradesh,3,Saharanpur Nagar,13 PULKIT THAKRAL,MALE,31,GENERAL,IND,Bat,103,1,104,0.04,443592
TURN OUT,,,,,,TOTAL:,,,291646,1466,293112,66.08,
Uttar Pradesh,4,Saharanpur,1 Ashu Malik,MALE,40,GENERAL,SP,Bicycle,106716,291,107007,41.18,359546
Uttar Pradesh,4,Saharanpur,2 JAGPAL SINGH,MALE,62,SC,BJP,Lotus,75956,306,76262,29.35,359546
Uttar Pradesh,4,Saharanpur,3 Ajab Singh,MALE,45,SC,BSP,Elephant,62354,283,62637,24.1,359546
Uttar Pradesh,4,Saharanpur,4 Margoob,MALE,45,GENERAL,AIMIM,Kite,8179,8,8187,3.15,359546
Uttar Pradesh,4,Saharanpur,5 QURBAN,MALE,57,GENERAL,ASPKR,Kettle,1760,4,1764,0.68,359546
